PROV,PSGC_PROV,CITY/MUNI,PSGC_CITY/MUNI,Number of School
MAGUINDANAO,PH153800000,RAJAH BUAYAN,PH153829000,13
MAGUINDANAO,PH153800000,DATU BLAH T. SINSUAT,PH153830000,17
MAGUINDANAO,PH153800000,DATU ANGGAL MIDTIMBANG,PH153831000,7
MAGUINDANAO,PH153800000,MANGUDADATU,PH153832000,6
MAGUINDANAO,PH153800000,PANDAG,PH153833000,8
MAGUINDANAO,PH153800000,NORTHERN KABUNTALAN,PH153834000,14
MAGUINDANAO,PH153800000,DATU HOFFER AMPATUAN,PH153835000,8
MAGUINDANAO,PH153800000,DATU SALIBO,PH153836000,8
MAGUINDANAO,PH153800000,SHARIFF SAYDONA MUSTAPHA,PH153837000,10
SULU,PH156600000,INDANAN,PH156601000,34
SULU,PH156600000,JOLO (Capital),PH156602000,49
SULU,PH156600000,KALINGALAN CALUANG,PH156603000,13
SULU,PH156600000,LUUK,PH156604000,17
SULU,PH156600000,MAIMBUNG,PH156605000,20
SULU,PH156600000,HADJI PANGLIMA TAHIL (MARUNGGAS),PH156606000,9
SULU,PH156600000,OLD PANAMAO,PH156607000,17
SULU,PH156600000,PANGUTARAN,PH156608000,34
SULU,PH156600000,PARANG,PH156609000,32
SULU,PH156600000,PATA,PH156610000,15
SULU,PH156600000,PATIKUL,PH156611000,30
SULU,PH156600000,SIASI,PH156612000,58
SULU,PH156600000,TALIPAO,PH156613000,48
SULU,PH156600000,TAPUL,PH156614000,16
SULU,PH156600000,TONGKIL,PH156615000,18
SULU,PH156600000,PANGLIMA ESTINO (NEW PANAMAO),PH156616000,12
SULU,PH156600000,LUGUS,PH156617000,18
SULU,PH156600000,PANDAMI,PH156618000,22
SULU,PH156600000,OMAR,PH156619000,17
TAWI-TAWI,PH157000000,PANGLIMA SUGALA (BALIMBING),PH157001000,35
TAWI-TAWI,PH157000000,BONGAO (Capital),PH157002000,81
TAWI-TAWI,PH157000000,MAPUN (CAGAYAN DE TAWI-TAWI),PH157003000,24
TAWI-TAWI,PH157000000,SIMUNUL,PH157004000,32
TAWI-TAWI,PH157000000,SITANGKAI,PH157005000,18
TAWI-TAWI,PH157000000,SOUTH UBIAN,PH157006000,17
TAWI-TAWI,PH157000000,TANDUBAS,PH157007000,18
TAWI-TAWI,PH157000000,TURTLE ISLANDS,PH157008000,4
TAWI-TAWI,PH157000000,LANGUYAN,PH157009000,31
TAWI-TAWI,PH157000000,SAPA-SAPA,PH157010000,29
TAWI-TAWI,PH157000000,SIBUTU,PH157011000,15
